Day Monday
CRN    Dept  Coursenum  Class Title                     Start Time  End Time  Room
63478  CHME  6430-01    BIOCHEMICAL_ENGR                10:00AM     11:50AM   TROY_2015  
65269  CHME  6962-01    INTRO_TO_MOLECULAR_SEPARATIONS  10:00AM     11:50AM   RCKTTS_208 
64202  CIVL  4140-01    GEOENVIRONMENTAL_ENG            10:00AM     11:50AM   JONSSN_3207
62806  CIVL  4620-01    MASS_TRANSIT_SYSTEMS            10:00AM     11:50AM   LOW_3130   
64203  CIVL  6550-01    ADVANCED_GEOENV_ENGR            10:00AM     11:50AM   JONSSN_3207
65478  COMM  2520-02    COMMUNICATION_THEORY_&_PRAC.    10:00AM     11:50AM   SAGE_4510  
65482  COMM  2520-06    COMMUNICATION_THEORY_&_PRAC.    10:00AM     11:50AM   SAGE_4510  
64780  COMM  2660-01    INTRODUCTION_TO_GRAPHICS        10:00AM     11:50AM   SAGE_2411  
65381  COMM  2660-02    INTRODUCTION_TO_GRAPHICS        10:00AM     11:50AM   WEST_214   
64802  COMM  4420-01    FOUNDATIONS_OF_HCI_USABILITY    10:00AM     11:50AM   SAGE_2707  
63466  COMM  4770-01    USER-EXPERIENCE_DESIGN          10:00AM     11:50AM   SAGE_4711  
64803  COMM  6420-01    FOUNDATIONS_OF_HCI_USABILITY    10:00AM     11:50AM   SAGE_2707  
63468  COMM  6770-01    USER-EXPERIENCE_DESIGN          10:00AM     11:50AM   SAGE_4711  
63483  CSCI  2200-01    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM   SAGE_3303  
63694  CSCI  2200-02    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM   SAGE_3303  
63959  CSCI  2200-03    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM   SAGE_3303  
64791  CSCI  2200-04    FOUNDATIONS_OF_COMPUTER_SCI     10:00AM     11:50AM   SAGE_3303  
63684  CSCI  2600-01    PRINCIPLES_OF_SOFTWARE          10:00AM     11:50AM   DARRIN_318 
64859  CSCI  4030-01    RANDOMIZED_ALGORITHMS           10:00AM     11:50AM   DARRIN_239 
63678  CSCI  4230-01    CRYPT_&_NETWORK_SECURITY_I      10:00AM     11:50AM   GREENE_120 
61205  CSCI  4800-01    NUMERICAL_COMPUTING             10:00AM     11:50AM   DARRIN_337 
